date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Aug 26 2013,$1.613,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=6&p=MC65,Alexandr Dolgopolov,Winston-Salem,Gael Monfils,Alexandr Dolgopolov,Gael Monfils,S,98,6,65,67,50,23,50,30,,,,,,,61,43,9,44,76,39,32,,40,,,,,,,56,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=6&p=MC65
Aug 26 2013,$1.698,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=5&p=MC65,Fernando Verdasco,Winston-Salem,Gael Monfils,Fernando Verdasco,Gael Monfils,Q,133,7,70,75,68,28,68,30,,,,,,,73,38,11,52,71,51,24,,10,,,,,,,61,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=5&p=MC65
Aug 18 2013,$1.611,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=4&p=MC65,Tommy Robredo,Winston-Salem,Gael Monfils,Tommy Robredo,Gael Monfils,R16,138,5,76,78,40,36,40,27,,,,,,,69,37,1,58,63,61,21,,50,,,,,,,62,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=4&p=MC65
Aug 18 2013,$1.270,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=3&p=MC65,Guido Pella,Winston-Salem,Gael Monfils,Guido Pella,Gael Monfils,R32,53,6,58,87,64,43,64,44,,,,,,,78,48,0,51,56,46,12,,0,,,,,,,51,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=3&p=MC65
Aug 18 2013,$2.662,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=6&p=F510,Fabio Fognini,Umag,Gael Monfils,Fabio Fognini,Fabio Fognini,S,115,2,68,57,42,37,42,31,,,,,,,52,45,1,58,62,45,42,,37,,,,,,,55,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=6&p=F510
Aug 18 2013,$1.559,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=5&p=MC65,Albert Montanes,Umag,Gael Monfils,Albert Montanes,Gael Monfils,Q,136,4,77,62,39,43,39,38,,,,,,,57,46,1,52,56,50,37,,33,,,,,,,53,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=5&p=MC65
Aug 18 2013,$1.404,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=4&p=MC65,Blaz Kavcic,Umag,Gael Monfils,Blaz Kavcic,Gael Monfils,R16,70,0,85,65,75,36,75,80,,,,,,,67,47,1,69,63,29,34,,0,,,,,,,52,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=4&p=MC65
Jul 29 2013,$1.073,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=3&p=MC65,Mate Pavic,Umag,Gael Monfils,Mate Pavic,Gael Monfils,R32,81,0,70,73,26,56,26,60,,,,,,,59,55,3,50,43,45,26,,30,,,,,,,44,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=3&p=MC65
Jul 29 2013,$1.813,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=MA21,Juan Monaco,Hamburg,Gael Monfils,Juan Monaco,Juan Monaco,R32,73,0,69,60,26,35,26,42,,,,,,,50,41,0,75,64,40,39,,71,,,,,,,58,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=MA21
Jul 29 2013,$1.319,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=2&p=MC65,Andrey Golubev,Hamburg,Gael Monfils,Andrey Golubev,Gael Monfils,R64,83,2,68,68,45,43,45,45,,,,,,,60,50,3,58,56,41,31,,25,,,,,,,50,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=2&p=MC65
Jul 29 2013,$1.592,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=5&p=K435,Philipp Kohlschreiber,Stuttgart,Gael Monfils,Philipp Kohlschreiber,Philipp Kohlschreiber,Q,71,0,54,70,38,30,38,40,,,,,,,56,33,3,58,69,60,29,,66,,,,,,,66,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=5&p=K435
Jul 29 2013,$1.636,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=4&p=MC65,Florian Mayer,Stuttgart,Gael Monfils,Florian Mayer,Gael Monfils,R16,55,4,51,70,57,53,57,75,,,,,,,64,58,0,69,46,29,30,,50,,,,,,,41,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=4&p=MC65
Jul 15 2013,$1.287,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=3&p=MC65,Paul-Henri Mathieu,Stuttgart,Gael Monfils,Paul-Henri Mathieu,Gael Monfils,R32,101,16,64,72,73,38,73,14,,,,,,,72,38,0,46,61,60,27,,0,,,,,,,61,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=3&p=MC65
Jul 15 2013,$3.166,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=5&p=H355,Tommy Haas,Halle,Gael Monfils,Tommy Haas,Tommy Haas,Q,114,14,74,72,48,13,48,0,,,,,,,66,24,4,64,86,56,27,,37,,,,,,,75,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=5&p=H355
