player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Jeremy Chardy,Gilles Simon,Gilles Simon,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$2.394,$1.669,0,-0.27,0,3
Novak Djokovic,Grigor Dimitrov,Grigor Dimitrov,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$1.072,$11.919,0.01,-0.81,1,8
Roger Federer,Kei Nishikori,Kei Nishikori,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.265,$4.415,0,-0.14,0,1
Tommy Haas,David Ferrer,David Ferrer,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$3.284,$1.404,-0.73,0.37,5,4
Tommy Haas,Andreas Seppi,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,$1.594,$2.566,0.11,0.14,1,1
Rafael Nadal,David Ferrer,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,$1.124,$7.855,0.26,-0.01,1,1
Rafael Nadal,Mikhail Youzhny,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.021,$26.377,0,-0.09,0,1
Milos Raonic,Fernando Verdasco,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$1.388,$3.375,0.31,0,3,0
Tommy Robredo,Tommy Haas,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$2.547,$1.602,-1.54,0,15,0
Jo-Wilfried Tsonga,Fernando Verdasco,Jo-Wilfried Tsonga,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.389,$3.364,0,0.13,0,1
Stan Wawrinka,Jo-Wilfried Tsonga,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,$1.653,$2.428,0.56,-0.51,8,6
Stan Wawrinka,Grigor Dimitrov,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.503,$2.842,-0.04,0,1,0
Mikhail Youzhny,Fabio Fognini,Mikhail Youzhny,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,$2.465,$1.636,0,0.0,0,1
Gilles Simon,Andy Murray,Andy Murray,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$5.209,$1.212,-0.85,1.34,4,5
Nicolas Almagro,Mikhail Youzhny,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Madrid,R32,$1.238,$4.779,0.04,0,3,0
Jeremy Chardy,Feliciano Lopez,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R64,$1.632,$2.474,-0.75,0.83,12,10
Marin Cilic,Kevin Anderson,Kevin Anderson,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.528,$2.757,0.75,-0.62,8,8
Novak Djokovic,Alexandr Dolgopolov,Novak Djokovic,May 12 2013,ATP World Tour Masters 1000 Rome,R16,$1.079,$11.071,0,-0.25,0,1
Roger Federer,Jerzy Janowicz,Roger Federer,May 12 2013,ATP World Tour Masters 1000 Rome,Q,$1.180,$5.894,0,-0.12,0,1
Roger Federer,Gilles Simon,Roger Federer,May 12 2013,ATP World Tour Masters 1000 Rome,R16,$1.209,$5.262,0,0,0,0
Richard Gasquet,Jerzy Janowicz,Jerzy Janowicz,May 12 2013,ATP World Tour Masters 1000 Rome,R16,$1.401,$3.297,1.01,-0.87,8,6
Richard Gasquet,Grigor Dimitrov,Richard Gasquet,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.860,$2.086,-0.02,0,2,0
Tommy Haas,Mikhail Youzhny,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Rome,R64,$1.444,$3.084,0.36,0.34,2,9
Rafael Nadal,David Ferrer,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,Q,$1.158,$6.520,0.85,-0.04,4,4
Rafael Nadal,Ernests Gulbis,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R16,$1.073,$11.748,0.1,-0.25,1,7
Rafael Nadal,Fabio Fognini,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.042,$26.725,0,-0.51,0,2
Kei Nishikori,Jeremy Chardy,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.462,$3.003,0.13,0,1,0
Jo-Wilfried Tsonga,Jerzy Janowicz,Jerzy Janowicz,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.349,$3.629,-0.15,-1.08,1,11
Fernando Verdasco,David Ferrer,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$5.624,$1.192,-0.18,0.34,1,3
Mikhail Youzhny,Gilles Simon,Gilles Simon,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.813,$2.148,-0.08,-0.38,1,3
Fabio Fognini,Andreas Seppi,Fabio Fognini,May 12 2013,ATP World Tour Masters 1000 Rome,R64,$1.868,$2.077,0.02,0.91,2,9
Philipp Kohlschreiber,Milos Raonic,Philipp Kohlschreiber,May 12 2013,ATP World Tour Masters 1000 Rome,R64,$2.737,$1.535,-0.87,0.15,6,2
Tomas Berdych,Novak Djokovic,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,Q,$5.701,$1.188,-0.05,0.02,1,2
Tomas Berdych,Kevin Anderson,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R16,$1.325,$3.814,0.15,-0.48,7,21
Tomas Berdych,Stan Wawrinka,Stan Wawrinka,May 19 2013,ATP World Tour Masters 1000 Madrid,S,$1.939,$1.995,0,0,0,0
Tomas Berdych,Andy Murray,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Madrid,Q,$2.058,$1.883,-0.05,0.03,2,4
Gael Monfils,Fabio Fognini,Gael Monfils,May 19 2013,Nice,R16,$2.260,$1.741,0,0,0,0
Nicolas Almagro,Andreas Seppi,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,$1.219,$5.085,0.1,-0.04,5,1
Novak Djokovic,Grigor Dimitrov,Novak Djokovic,May 27 2013,French Open Slam,Round of 32,$1.093,$9.817,0.29,-1.0,7,13
Roger Federer,Gilles Simon,Roger Federer,May 27 2013,French Open Slam,Round of 16,$1.055,$14.400,2.03,-1.57,7,8
Tommy Haas,Mikhail Youzhny,Tommy Haas,May 27 2013,French Open Slam,Round of 16,$1.823,$2.135,-0.57,2.02,9,20
Tommy Haas,John Isner,Tommy Haas,May 27 2013,French Open Slam,Round of 32,$1.373,$3.467,0.27,-0.67,7,9
Lleyton Hewitt,Gilles Simon,Gilles Simon,May 27 2013,French Open Slam,Round of 128,$6.612,$1.155,-1.11,1.38,9,7
Gael Monfils,Ernests Gulbis,Gael Monfils,May 27 2013,French Open Slam,Round of 64,$2.269,$1.735,-0.12,0,1,0
Rafael Nadal,Novak Djokovic,Rafael Nadal,May 27 2013,French Open Slam,Semi Final,$1.588,$2.582,0,0.5,0,4
Rafael Nadal,Kei Nishikori,Rafael Nadal,May 27 2013,French Open Slam,Round of 16,$1.041,$17.789,0.32,-0.23,1,1
Rafael Nadal,Fabio Fognini,Rafael Nadal,May 27 2013,French Open Slam,Round of 32,$1.015,$31.008,1.68,-1.12,7,5
Milos Raonic,Kevin Anderson,Kevin Anderson,May 27 2013,French Open Slam,Round of 32,$1.698,$2.337,0.03,-0.41,1,7
Tommy Robredo,Nicolas Almagro,Tommy Robredo,May 27 2013,French Open Slam,Round of 16,$5.047,$1.221,-1.03,1.05,11,12
Tommy Robredo,Gael Monfils,Tommy Robredo,May 27 2013,French Open Slam,Round of 32,$2.809,$1.513,0.02,0.11,1,3
Jo-Wilfried Tsonga,David Ferrer,David Ferrer,May 27 2013,French Open Slam,Semi Final,$2.367,$1.682,-0.58,0.35,7,4
Jo-Wilfried Tsonga,Jeremy Chardy,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Round of 32,$1.276,$4.290,-0.17,0.33,2,11
Stan Wawrinka,Rafael Nadal,Rafael Nadal,May 27 2013,French Open Slam,Quarter Final,$12.872,$1.065,0.31,2.07,1,10
Stan Wawrinka,Richard Gasquet,Stan Wawrinka,May 27 2013,French Open Slam,Round of 16,$1.830,$2.125,0,0,0,0
Stan Wawrinka,Jerzy Janowicz,Stan Wawrinka,May 27 2013,French Open Slam,Round of 32,$1.396,$3.326,0,-0.22,0,2
Philipp Kohlschreiber,Novak Djokovic,Novak Djokovic,May 27 2013,French Open Slam,Round of 16,$15.130,$1.052,-0.23,0,1,0
Feliciano Lopez,David Ferrer,David Ferrer,May 27 2013,French Open Slam,Round of 32,$14.400,$1.055,0,0.79,0,6
Kevin Anderson,David Ferrer,David Ferrer,Jun 10 2013,French Open Slam,Round of 16,$6.153,$1.170,0.54,0,6,0
Tomas Berdych,Gael Monfils,Gael Monfils,Jun 10 2013,French Open Slam,Round of 128,$1.252,$4.580,0.22,-0.11,4,1
Marin Cilic,Andy Murray,Andy Murray,Jun 10 2013,London / Queen's Club,F,$4.996,$1.224,-0.91,0.49,9,7
