tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
US Open Slam,Gael Monfils,John Isner,John Isner,Round of 64,175,7,83,73,52,20,52,14,35,29,9,16,160,149,69,28,23,70,80,55,27,48,33,60,55,37,63,205,173,72,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634229
US Open Slam,Gael Monfils,Adrian Ungur,Gael Monfils,Round of 128,67,5,84,80,50,54,50,69,22,11,8,12,162,138,76,63,1,56,46,26,20,,100,19,47,6,14,172,146,37,24,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634158
Metz,Gael Monfils,Andreas Seppi,Andreas Seppi,S,102,5,69,78,33,23,33,16,,,,,,,64,29,5,62,76,60,21,,42,,,,,,,70,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=341&y=2012&r=6&p=SA93
Bangkok,Gael Monfils,Viktor Troicki,Gael Monfils,R16,112,3,73,63,54,32,54,41,,,,,,,60,45,6,66,67,28,36,,37,,,,,,,54,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2012&r=4&p=MC65
Bangkok,Gael Monfils,Kevin Anderson,Gael Monfils,R32,145,5,75,61,56,31,56,36,,,,,,,60,38,2,61,68,48,38,,57,,,,,,,61,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2012&r=3&p=MC65
Stockholm,Gael Monfils,Patrik Rosenholm,Patrik Rosenholm,R32,78,10,55,76,40,31,40,100,,,,,,,60,30,3,76,68,73,23,,42,,,,,,,69,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2012&r=3&p=R931
Bangkok,Gael Monfils,Gilles Simon,Gilles Simon,Q,85,1,74,39,53,30,53,28,,,,,,,43,38,1,54,70,52,60,,62,,,,,,,61,56,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2012&r=5&p=SD32
Nice,,,Brian Baker,R32,153,4,62,65,58,34,58,42,,,,,,,62,42,5,65,65,41,34,,44,,,,,,,57,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2012&r=3&p=BA23
Doha,Gael Monfils,Mousa Shanan Zayed,Gael Monfils,R32,48,3,72,70,42,70,42,66,,,,,,,62,68,0,73,30,36,29,,50,,,,,,,31,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2013&r=3&p=MC65
Doha,Gael Monfils,Philipp Kohlschreiber,Gael Monfils,R16,124,10,67,68,48,34,48,25,,,,,,,61,34,2,61,65,66,31,,28,,,,,,,65,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2013&r=4&p=MC65
Australian Open Slam,Gael Monfils,Ryan Harrison,Gael Monfils,Round of 128,111,9,64,86,64,28,64,75,43,27,18,22,191,150,78,37,2,62,72,49,14,,0,19,23,13,20,195,165,63,22,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704104
