tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
French Open Slam,Kei Nishikori,Benoit Paire,Kei Nishikori,Round of 32,161,1,63,71,52,32,52,42,27,34,,,166,135,64,45,6,43,68,46,29,,44,36,64,,,185,140,55,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224306
Delray Beach,Kei Nishikori,Gastao Elias,Kei Nishikori,R32,116,3,58,63,59,46,59,46,,,,,,,61,50,3,51,53,46,36,,60,,,,,,,50,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=3&p=N552
Barcelona,Kei Nishikori,Roberto Bautista Agut,Kei Nishikori,R32,118,5,58,68,46,45,46,46,,,,,,,59,47,1,66,55,46,31,,57,,,,,,,52,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=N552
Wimbledon Slam,Kei Nishikori,Andreas Seppi,Andreas Seppi,Round of 32,184,3,69,64,51,30,51,27,44,45,,,,,60,36,9,60,70,55,36,49,50,44,28,,,,,64,40,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604307
French Open Slam,Kei Nishikori,Grega Zemlja,Kei Nishikori,Round of 64,151,4,63,64,46,39,46,48,43,56,,,166,132,58,53,5,48,61,34,36,,60,24,47,,,184,147,47,42,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224212
Wimbledon Slam,Kei Nishikori,Leonardo Mayer,Kei Nishikori,Round of 64,142,2,67,72,54,36,54,42,29,20,,,165,138,66,44,5,65,64,41,28,,40,27,28,,,185,165,56,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604213
Barcelona,Kei Nishikori,Marin Cilic,Kei Nishikori,Q,71,2,61,75,50,32,50,62,,,,,,,65,54,5,47,68,25,24,,50,,,,,,,45,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=5&p=N552
Barcelona,Kei Nishikori,Andrey Golubev,Kei Nishikori,R16,76,3,71,61,47,58,47,50,,,,,,,57,58,0,61,41,42,38,,33,,,,,,,41,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=N552
Barcelona,Kei Nishikori,Ernests Gulbis,Kei Nishikori,S,86,1,62,80,63,35,63,30,,,,,,,74,43,5,59,64,44,19,,0,,,,,,,56,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=6&p=N552
Wimbledon Slam,Kei Nishikori,Matthew Ebden,Kei Nishikori,Round of 128,101,1,67,69,70,32,70,55,32,14,,,,,69,46,8,61,68,32,31,,50,20,25,,,,,54,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604125
ATP World Tour Masters 1000 Madrid,Kei Nishikori,Milos Raonic,Kei Nishikori,R16,126,9,65,73,64,23,64,16,,,,,,,70,30,12,61,76,56,26,,14,,,,,,,69,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=N552
ATP World Tour Masters 1000 Madrid,Kei Nishikori,Feliciano Lopez,Kei Nishikori,Q,91,1,56,71,74,29,74,22,,,,,,,72,41,9,75,70,23,28,,0,,,,,,,58,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=5&p=N552
ATP World Tour Masters 1000 Madrid,Kei Nishikori,Ivan Dodig,Kei Nishikori,R64,90,2,70,67,66,38,66,75,,,,,,,67,44,5,57,61,48,32,,25,,,,,,,55,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=N552
ATP World Tour Masters 1000 Madrid,Kei Nishikori,Guillermo Garcia-Lopez,Kei Nishikori,R32,65,1,64,71,55,50,55,71,,,,,,,66,53,2,69,50,38,28,,25,,,,,,,46,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=N552
ATP World Tour Masters 1000 Madrid,Kei Nishikori,David Ferrer,Kei Nishikori,S,176,5,64,70,48,32,48,42,,,,,,,62,32,9,64,67,67,29,,20,,,,,,,67,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=6&p=N552
