tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Hamburg,Fernando Verdasco,Jerzy Janowicz,Fernando Verdasco,R16,64,5,61,75,73,43,73,66,,,,,,,74,50,5,61,56,40,25,,100,,,,,,,50,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=4&p=V306
Wimbledon Slam,Fernando Verdasco,Jimmy Wang,Fernando Verdasco,Round of 128,,12,63,76,56,29,56,45,42,29,,,,,68,40,0,62,71,42,24,,33,28,39,,,,,60,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=175054121
Hamburg,Fernando Verdasco,Federico Delbonis,Federico Delbonis,Q,194,4,69,67,55,30,55,17,,,,,,,63,39,3,57,69,49,32,,36,,,,,,,60,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=5&p=D874
Kitzbühel,Fernando Verdasco,Robin Haase,Robin Haase,Q,108,4,66,73,48,22,48,66,,,,,,,65,32,7,53,77,56,26,,60,,,,,,,67,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=319&y=2013&r=5&p=H756
US Open Slam,Fernando Verdasco,Rui Machado,Fernando Verdasco,Round of 128,,6,62,77,63,38,63,67,25,26,,,177,148,72,50,2,54,63,35,23,,33,10,27,,,165,160,50,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114104
Wimbledon Slam,Fernando Verdasco,Grega Zemlja,Fernando Verdasco,Round of 64,175,22,66,79,61,25,61,29,55,22,,,186,164,73,34,12,57,75,53,21,,40,46,32,,,181,151,66,27,http://www.tennisinsight.com/match_stats_popup.php?matchID=175054211
Winston-Salem,Fernando Verdasco,Tim Smyczek,Fernando Verdasco,R32,117,11,60,70,41,40,41,54,,,,,,,58,48,7,57,59,40,29,,50,,,,,,,51,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=3&p=V306
Wimbledon Slam,Fernando Verdasco,Xavier Malisse,Xavier Malisse,Round of 32,190,21,68,73,46,28,46,50,69,46,,,186,164,65,30,8,55,72,67,27,54,24,37,15,,,178,140,70,35,http://www.tennisinsight.com/match_stats_popup.php?matchID=175054306
US Open Slam,Fernando Verdasco,Albert Ramos,Fernando Verdasco,Round of 64,,9,61,73,56,30,56,25,9,7,,,,,66,39,5,59,70,48,27,,67,5,11,,,,,61,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114202
Winston-Salem,Fernando Verdasco,Robin Haase,Fernando Verdasco,R16,134,10,54,85,55,24,55,37,,,,,,,71,36,6,67,75,39,14,,25,,,,,,,63,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=4&p=V306
