tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
ATP World Tour Masters 1000 Miami,Fabio Fognini,Michael Llodra,Fabio Fognini,R64,47,0,63,84,46,34,53,71,,,,,,,70,47,6,56,65,36,15,,100,,,,,,,52,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=F510
ATP World Tour Masters 1000 Miami,Fabio Fognini,David Ferrer,David Ferrer,R32,74,0,52,57,46,21,53,100,,,,,,,52,28,3,71,78,53,42,,44,,,,,,,71,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=3&p=F401
Australian Open Slam,Fabio Fognini,Sam Querrey,Fabio Fognini,Round of 32,115,9,60,75,72,34,28,40,43,26,7,11,178,142,74,40,10,63,66,50,25,,25,27,41,11,23,193,146,60,26,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704315
Davis Cup,Fabio Fognini,James Ward,Fabio Fognini,Singles,189,5,56,71,47,39,53,41,,,,,,,61,47,3,61,61,41,29,,22,,,,,,,53,39,http://www.tennisinsight.com/match_stats_popup.php?matchID=184963101
ATP World Tour Masters 1000 Monte Carlo,Fabio Fognini,Tomas Berdych,Fabio Fognini,R16,79,3,60,78,52,40,47,36,,,,,,,67,48,2,50,59,43,21,,16,,,,,,,51,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=4&p=F510
ATP World Tour Masters 1000 Monte Carlo,Fabio Fognini,Novak Djokovic,Novak Djokovic,S,52,1,50,65,25,17,75,0,,,,,,,45,20,3,70,82,75,35,,66,,,,,,,80,55,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=6&p=D643
ATP World Tour Masters 1000 Monte Carlo,Fabio Fognini,Andreas Seppi,Fabio Fognini,R64,118,3,52,56,47,34,52,70,,,,,,,52,46,8,67,65,30,43,,50,,,,,,,53,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=2&p=F510
Beijing,Fabio Fognini,Rafael Nadal,Rafael Nadal,Q,135,3,63,56,44,38,55,50,,,,,,,52,44,3,63,62,44,43,,42,,,,,,,55,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=5&p=N409
Oeiras,Fabio Fognini,Paolo Lorenzi,Fabio Fognini,R16,163,3,68,74,47,26,52,27,,,,,,,65,37,4,61,73,44,25,,37,,,,,,,62,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2013&r=4&p=F510
ATP World Tour Masters 1000 Monte Carlo,Fabio Fognini,Albert Ramos,Fabio Fognini,R32,96,0,58,72,57,27,42,75,,,,,,,66,40,0,47,72,46,27,,50,,,,,,,59,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=3&p=F510
Oeiras,Fabio Fognini,Pablo Carreno Busta,Pablo Carreno Busta,Q,132,4,56,68,52,29,47,27,,,,,,,61,42,2,51,70,44,32,,40,,,,,,,57,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2013&r=5&p=CD85
ATP World Tour Masters 1000 Monte Carlo,Fabio Fognini,Richard Gasquet,Fabio Fognini,Q,87,3,53,79,53,46,46,44,,,,,,,67,48,3,56,53,48,20,,33,,,,,,,51,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=5&p=F510
ATP World Tour Masters 1000 Rome,Fabio Fognini,Rafael Nadal,Rafael Nadal,R32,61,0,71,45,38,23,61,33,,,,,,,43,25,0,79,76,66,54,,45,,,,,,,74,56,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=N409
ATP World Tour Masters 1000 Shanghai,Fabio Fognini,Tommy Robredo,Fabio Fognini,R32,76,1,63,82,40,25,59,20,,,,,,,67,42,4,54,74,38,17,,0,,,,,,,57,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=F510
ATP World Tour Masters 1000 Shanghai,Fabio Fognini,Novak Djokovic,Novak Djokovic,R16,70,3,70,58,47,20,52,0,,,,,,,55,21,5,72,79,76,41,,50,,,,,,,78,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=D643
ATP World Tour Masters 1000 Rome,Fabio Fognini,Andreas Seppi,Fabio Fognini,R64,70,1,66,66,65,45,35,62,,,,,,,66,55,4,64,54,26,33,,33,,,,,,,44,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=2&p=F510
ATP World Tour Masters 1000 Madrid,Fabio Fognini,Mikhail Youzhny,Mikhail Youzhny,R64,145,2,60,69,53,36,46,40,,,,,,,63,37,3,83,63,61,30,,50,,,,,,,62,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=2&p=Y061
ATP World Tour Masters 1000 Shanghai,Fabio Fognini,Paolo Lorenzi,Fabio Fognini,R64,153,11,58,65,56,22,43,15,,,,,,,61,32,7,65,77,50,34,,13,,,,,,,67,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=F510
Nice,Fabio Fognini,Marco Cecchinato,Fabio Fognini,R32,93,3,57,76,32,44,67,45,,,,,,,57,46,2,71,55,50,23,,60,,,,,,,53,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=3&p=F510
Nice,Fabio Fognini,Gael Monfils,Gael Monfils,R16,91,0,52,54,57,20,42,33,,,,,,,55,30,2,67,79,47,45,,20,,,,,,,69,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=4&p=MC65
Vienna,Fabio Fognini,Lukasz Kubot,Fabio Fognini,R16,82,1,55,66,62,39,37,62,,,,,,,65,47,6,66,60,36,33,,40,,,,,,,52,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2013&r=4&p=F510
Vienna,Fabio Fognini,Robin Haase,Robin Haase,Q,85,2,64,66,48,21,51,0,,,,,,,59,26,8,61,78,65,34,,50,,,,,,,73,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2013&r=5&p=H756
Eastbourne,Fabio Fognini,Grega Zemlja,Fabio Fognini,R32,115,8,56,67,58,21,41,50,,,,,,,63,40,6,43,78,44,32,,42,,,,,,,59,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=3&p=F510
Valencia,Fabio Fognini,Martin Klizan,Fabio Fognini,R32,102,4,65,68,36,32,63,75,,,,,,,57,46,7,50,67,40,31,,57,,,,,,,53,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=F510
