tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Rotterdam,Roger Federer,Thiemo de Bakker,Roger Federer,R16,63,4,56,91,50,31,50,28,,,,,,,73,35,3,60,68,57,8,,0,,,,,,,64,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=4&p=F324
Dubai,Roger Federer,Benjamin Becker,Roger Federer,R32,62,5,62,83,63,38,63,75,,,,,,,76,45,1,54,61,46,16,,0,,,,,,,54,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=3&p=F324
Dubai,Roger Federer,Novak Djokovic,Roger Federer,S,106,7,59,76,58,32,58,42,,,,,,,68,36,5,61,67,57,23,,16,,,,,,,63,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=6&p=F324
Dubai,Roger Federer,Tomas Berdych,Roger Federer,F,119,8,51,83,46,34,46,40,,,,,,,65,44,5,48,65,45,16,,30,,,,,,,55,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=7&p=F324
ATP World Tour Masters 1000 Indian Wells,Roger Federer,Dmitry Tursunov,Roger Federer,R32,106,9,67,71,68,27,68,66,,,,,,,70,37,7,46,72,53,28,,66,,,,,,,62,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=F324
Dubai,Roger Federer,Radek Stepanek,Roger Federer,R16,129,8,62,72,48,37,48,66,,,,,,,63,48,3,49,62,40,27,,50,,,,,,,51,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=4&p=F324
Dubai,Roger Federer,Lukas Rosol,Roger Federer,Q,58,4,62,80,44,51,44,45,,,,,,,66,56,2,49,48,39,20,,50,,,,,,,43,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=5&p=F324
ATP World Tour Masters 1000 Indian Wells,Roger Federer,Tommy Haas,Roger Federer,R16,84,7,64,82,45,31,45,27,,,,,,,69,40,3,65,68,41,17,,20,,,,,,,59,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=F324
ATP World Tour Masters 1000 Indian Wells,Roger Federer,Paul-Henri Mathieu,Roger Federer,R64,91,9,61,84,50,34,50,60,,,,,,,70,41,1,52,65,50,15,,50,,,,,,,58,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=F324
ATP World Tour Masters 1000 Indian Wells,Roger Federer,Novak Djokovic,Novak Djokovic,F,132,6,63,70,56,24,56,66,,,,,,,65,33,6,64,75,50,29,,33,,,,,,,66,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=7&p=D643
