tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Gstaad,Feliciano Lopez,Andrey Kuznetsov,Feliciano Lopez,R16,64,9,55,75,69,30,30,100,,,,,,,72,38,4,54,70,52,24,,0,,,,,,,61,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=2013&r=4&p=L397
ATP World Tour Masters 1000 Cincinnati,Feliciano Lopez,Juan Martin Del Potro,Juan Martin Del Potro,R16,122,11,54,65,61,36,38,100,,,,,,,63,39,5,65,64,53,34,,30,,,,,,,60,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=4&p=D683
French Open Slam,Feliciano Lopez,David Ferrer,David Ferrer,Round of 32,125,5,63,56,37,28,43,60,21,41,,,187,150,49,33,1,66,72,57,44,63,37,35,30,,,177,151,67,51,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224312
ATP World Tour Masters 1000 Cincinnati,Feliciano Lopez,Jeremy Chardy,Feliciano Lopez,R32,64,2,47,71,60,34,39,33,,,,,,,65,38,3,65,65,53,28,,20,,,,,,,61,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=L397
Bangkok,Feliciano Lopez,Laslo Djere,Feliciano Lopez,R32,71,9,73,87,58,35,41,42,,,,,,,80,44,6,60,64,40,12,,0,,,,,,,55,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2013&r=3&p=L397
US Open Slam,Feliciano Lopez,Pablo Andujar,Feliciano Lopez,Round of 64,,19,54,75,44,43,56,47,19,9,,,,,61,42,4,63,57,61,25,,29,4,5,,,,,58,39,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114210
Wimbledon Slam,Feliciano Lopez,Paul-Henri Mathieu,Feliciano Lopez,Round of 64,56,13,64,90,75,38,25,67,23,4,,,,,85,47,3,45,62,46,10,,0,16,17,,,,,53,15,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604203
French Open Slam,Feliciano Lopez,Joao Sousa,Feliciano Lopez,Round of 64,156,17,64,80,59,32,41,25,42,36,,,,,72,36,10,66,68,55,20,,33,31,41,,,,,64,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224223
Bangkok,Feliciano Lopez,Milos Raonic,Milos Raonic,Q,59,6,58,70,50,10,50,0,,,,,,,62,18,19,86,89,33,29,,75,,,,,,,81,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2013&r=5&p=R975
Tokyo,Feliciano Lopez,Tatsuma Ito,Feliciano Lopez,R32,125,18,49,76,52,31,47,100,,,,,,,64,33,6,58,68,63,23,,40,,,,,,,66,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=3&p=L397
Bangkok,Feliciano Lopez,Go Soeda,Feliciano Lopez,R16,83,14,59,78,54,20,45,33,,,,,,,68,31,2,66,80,45,21,,16,,,,,,,68,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2013&r=4&p=L397
Tokyo,Feliciano Lopez,Kei Nishikori,Kei Nishikori,R16,69,6,52,63,29,19,70,66,,,,,,,47,33,3,57,80,47,36,,50,,,,,,,66,52,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=4&p=N552
ATP World Tour Masters 1000 Shanghai,Feliciano Lopez,Jarkko Nieminen,Feliciano Lopez,R64,116,8,57,75,44,30,56,50,,,,,,,62,34,8,72,69,54,24,,30,,,,,,,65,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=L397
ATP World Tour Masters 1000 Paris,Feliciano Lopez,Stan Wawrinka,Stan Wawrinka,R32,107,5,67,68,44,8,55,33,,,,,,,60,22,19,47,91,64,31,,50,,,,,,,77,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=W367
Valencia,Feliciano Lopez,Julien Benneteau,Julien Benneteau,R32,64,3,56,51,38,33,61,25,,,,,,,45,35,6,68,66,60,48,,50,,,,,,,64,54,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=B747
ATP World Tour Masters 1000 Shanghai,Feliciano Lopez,Tomas Berdych,Tomas Berdych,R32,90,15,62,73,43,15,56,0,,,,,,,62,20,8,55,84,73,26,,40,,,,,,,79,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=BA47
ATP World Tour Masters 1000 Paris,Feliciano Lopez,Bernard Tomic,Feliciano Lopez,R64,143,21,49,79,59,28,40,30,,,,,,,69,36,16,66,71,46,20,,28,,,,,,,63,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=2&p=L397
Brisbane,Feliciano Lopez,Mikhail Kukushkin,Feliciano Lopez,R32,75,13,54,80,56,57,44,66,,,,,,,69,46,4,48,42,63,20,,66,,,,,,,53,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=3&p=L397
Brisbane,Feliciano Lopez,Lleyton Hewitt,Lleyton Hewitt,R16,99,8,58,80,34,23,65,10,,,,,,,61,33,11,53,76,54,19,,50,,,,,,,66,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=4&p=H432
