matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,Dubai,Novak Djokovic,Mikhail Youzhny,Novak Djokovic,Q,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=5&p=D643
,Dubai,Roger Federer,Novak Djokovic,Roger Federer,S,106,7,0,59,76,58,32,58,42,,,,,,,5,2,61,67,57,23,57,16,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=6&p=F324
,ATP World Tour Masters 1000 Indian Wells,Novak Djokovic,Victor Hanescu,Novak Djokovic,R64,84,5,0,77,81,40,35,40,40,,,,,,,1,1,69,64,60,18,60,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=D643
,ATP World Tour Masters 1000 Indian Wells,Novak Djokovic,Alejandro Gonzalez,Novak Djokovic,R32,97,7,2,78,78,64,34,64,33,,,,,,,3,4,55,66,42,22,42,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=D643
,ATP World Tour Masters 1000 Indian Wells,Novak Djokovic,Marin Cilic,Novak Djokovic,R16,105,2,3,55,72,56,21,56,42,,,,,,,13,2,58,78,44,27,44,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=D643
,ATP World Tour Masters 1000 Indian Wells,Novak Djokovic,Julien Benneteau,Novak Djokovic,Q,69,7,3,65,92,57,35,57,26,,,,,,,2,2,53,64,30,7,30,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=5&p=D643
,ATP World Tour Masters 1000 Indian Wells,Novak Djokovic,John Isner,Novak Djokovic,S,144,7,2,68,74,51,37,51,41,,,,,,,8,2,68,62,44,25,44,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=6&p=D643
,ATP World Tour Masters 1000 Indian Wells,Novak Djokovic,Roger Federer,Novak Djokovic,F,132,6,5,64,75,50,29,50,33,,,,,,,6,4,63,70,56,24,56,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=7&p=D643
,ATP World Tour Masters 1000 Miami,Novak Djokovic,Jeremy Chardy,Novak Djokovic,R64,85,8,2,67,70,52,28,52,100,,,,,,,2,2,51,72,37,29,37,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=D643
,ATP World Tour Masters 1000 Miami,Novak Djokovic,Florian Mayer,Novak Djokovic,R32,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=D643
,ATP World Tour Masters 1000 Miami,Novak Djokovic,Tommy Robredo,Novak Djokovic,R16,82,5,2,65,82,66,29,66,100,,,,,,,2,1,75,70,42,17,42,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=D643
,ATP World Tour Masters 1000 Miami,Novak Djokovic,Andy Murray,Novak Djokovic,Q,90,7,3,72,72,55,35,55,50,,,,,,,1,5,65,64,47,27,47,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=D643
,ATP World Tour Masters 1000 Miami,Novak Djokovic,Kei Nishikori,Novak Djokovic,S,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=6&p=D643
,ATP World Tour Masters 1000 Miami,Novak Djokovic,Rafael Nadal,Novak Djokovic,F,84,5,0,71,85,57,40,57,75,,,,,,,2,1,71,59,46,14,46,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=7&p=D643
,ATP World Tour Masters 1000 Monte Carlo,Novak Djokovic,Albert Montanes,Novak Djokovic,R32,45,5,0,70,82,58,66,58,41,,,,,,,0,1,56,33,37,17,37,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=D643
,ATP World Tour Masters 1000 Monte Carlo,Novak Djokovic,Pablo Carreno Busta,Novak Djokovic,R16,48,2,0,73,76,100,63,100,71,,,,,,,0,0,57,36,37,24,37,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=D643
,ATP World Tour Masters 1000 Monte Carlo,Novak Djokovic,Guillermo Garcia-Lopez,Novak Djokovic,Q,132,6,1,63,74,50,40,50,45,,,,,,,0,1,59,60,47,25,47,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=5&p=D643
,ATP World Tour Masters 1000 Monte Carlo,Roger Federer,Novak Djokovic,Roger Federer,S,75,3,1,70,82,58,40,58,60,,,,,,,2,0,67,60,63,17,63,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=6&p=F324
,ATP World Tour Masters 1000 Rome,Novak Djokovic,Radek Stepanek,Novak Djokovic,R32,97,2,0,67,66,63,34,63,45,,,,,,,4,7,62,65,26,33,26,60,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=D643
,ATP World Tour Masters 1000 Rome,Novak Djokovic,Philipp Kohlschreiber,Novak Djokovic,R16,96,2,1,75,70,50,35,50,60,,,,,,,2,0,60,64,28,29,28,75,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=D643
,ATP World Tour Masters 1000 Rome,Novak Djokovic,David Ferrer,Novak Djokovic,Q,152,3,2,61,68,54,35,54,33,,,,,,,2,0,64,64,51,31,51,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=5&p=D643
,ATP World Tour Masters 1000 Rome,Novak Djokovic,Milos Raonic,Novak Djokovic,S,181,3,1,71,70,65,24,65,30,,,,,,,17,3,66,75,45,29,45,12,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=6&p=D643
,ATP World Tour Masters 1000 Rome,Novak Djokovic,Rafael Nadal,Novak Djokovic,F,139,7,0,62,71,55,45,55,42,,,,,,,0,2,75,54,43,28,43,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=7&p=D643
,Davis Cup,Novak Djokovic,Radek Stepanek,Novak Djokovic,Singles,130,4,0,77,72,70,37,70,83,,,,,,,3,1,61,63,44,28,44,13,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=183343101
,Davis Cup,Novak Djokovic,Tomas Berdych,Novak Djokovic,Reverse Singles,161,12,1,70,79,65,24,65,25,,,,,,,10,0,61,76,43,21,43,0,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=183343103
,Australian Open Slam,Novak Djokovic,Lukas Lacko,Novak Djokovic,Round of 128,110,10,0,68,83,68,38,68,50,40,30,8,9,190,159,5,1,61,63,50,17,50,33,17,29,8,11,182,153,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704164
,Australian Open Slam,Novak Djokovic,Leonardo Mayer,Novak Djokovic,Round of 64,107,12,2,66,82,74,36,74,83,30,11,5,9,179,155,3,7,52,64,41,18,41,0,14,39,7,11,194,171,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704232
