matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,ATP World Tour Masters 1000 Miami,Kei Nishikori,Marinko Matosevic,Kei Nishikori,R64,79,6,2,62,67,45,37,45,54,,,,,,,5,5,54,62,18,32,18,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=N552
,ATP World Tour Masters 1000 Miami,Kei Nishikori,Grigor Dimitrov,Kei Nishikori,R32,102,9,0,59,86,53,26,53,50,,,,,,,11,4,60,73,53,13,53,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=N552
,ATP World Tour Masters 1000 Miami,Kei Nishikori,David Ferrer,Kei Nishikori,R16,185,4,3,56,67,40,37,40,38,,,,,,,2,5,58,62,50,32,50,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=N552
,ATP World Tour Masters 1000 Miami,Kei Nishikori,Roger Federer,Kei Nishikori,Q,129,6,5,65,64,48,29,48,41,,,,,,,7,3,53,70,48,35,48,44,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=N552
,ATP World Tour Masters 1000 Miami,Novak Djokovic,Kei Nishikori,Novak Djokovic,S,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=6&p=D643
,Barcelona,Kei Nishikori,Roberto Bautista Agut,Kei Nishikori,R32,118,5,2,58,68,46,45,46,46,,,,,,,1,1,66,55,46,31,46,57,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=N552
,Barcelona,Kei Nishikori,Andrey Golubev,Kei Nishikori,R16,76,3,2,71,61,47,58,47,50,,,,,,,0,2,61,41,42,38,42,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=N552
,Barcelona,Kei Nishikori,Marin Cilic,Kei Nishikori,Q,71,2,2,61,75,50,32,50,62,,,,,,,5,2,47,68,25,24,25,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=5&p=N552
,Barcelona,Kei Nishikori,Ernests Gulbis,Kei Nishikori,S,86,1,3,62,80,63,35,63,30,,,,,,,5,2,59,64,44,19,44,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=6&p=N552
,Barcelona,Kei Nishikori,Santiago Giraldo,Kei Nishikori,F,73,2,1,52,75,52,32,52,71,,,,,,,2,5,47,68,25,25,25,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=7&p=N552
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Ivan Dodig,Kei Nishikori,R64,90,2,1,70,67,66,38,66,75,,,,,,,5,2,57,61,48,32,48,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=N552
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Guillermo Garcia-Lopez,Kei Nishikori,R32,65,1,0,64,71,55,50,55,71,,,,,,,2,1,69,50,38,28,38,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=N552
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Milos Raonic,Kei Nishikori,R16,126,9,1,65,73,64,23,64,16,,,,,,,12,3,61,76,56,26,56,14,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=N552
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Feliciano Lopez,Kei Nishikori,Q,91,1,0,56,71,74,29,74,22,,,,,,,9,1,75,70,23,28,23,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=5&p=N552
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,David Ferrer,Kei Nishikori,S,176,5,3,64,70,48,32,48,42,,,,,,,9,2,64,67,67,29,67,20,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=6&p=N552
,ATP World Tour Masters 1000 Madrid,Rafael Nadal,Kei Nishikori,Rafael Nadal,F,103,4,2,78,72,58,34,58,33,,,,,,,2,3,58,65,48,27,48,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=7&p=N409
,US Open Slam,Daniel Evans,Kei Nishikori,Daniel Evans,Round of 128,117,8,4,48,76,51,36,51,67,27,32,16,24,185,152,3,8,54,64,38,24,38,22,24,38,10,18,168,138,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634156
,Davis Cup,Kei Nishikori,Alejandro Falla,Kei Nishikori,Singles,110,3,3,67,68,66,29,66,45,,,,,,,7,4,55,71,41,32,41,67,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=182053101
,Davis Cup,Kei Nishikori,Santiago Giraldo,Kei Nishikori,Reverse Singles,103,6,0,63,89,62,30,62,56,,,,,,,7,2,49,70,41,11,41,0,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=182053103
,Australian Open Slam,Kei Nishikori,Marinko Matosevic,Kei Nishikori,Round of 128,221,6,6,66,72,52,34,52,47,44,50,11,16,173,137,14,9,61,66,43,28,43,33,46,63,16,30,176,143,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704108
,Australian Open Slam,Kei Nishikori,Dusan Lajovic,Kei Nishikori,Round of 64,109,5,3,64,83,52,42,52,50,30,27,10,14,174,142,7,3,70,58,30,17,30,20,17,49,4,7,167,140,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704204
,Australian Open Slam,Kei Nishikori,Donald Young,Kei Nishikori,Round of 32,107,3,1,54,71,60,51,60,67,30,27,3,7,176,146,1,5,64,49,27,29,27,25,17,32,15,30,162,140,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704302
,Australian Open Slam,Rafael Nadal,Kei Nishikori,Rafael Nadal,Round of 16,197,12,1,71,76,39,33,39,63,36,28,10,19,185,148,2,1,66,67,41,24,41,40,36,51,20,25,178,148,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704401
