p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
52.0,25.0,Novak Djokovic,false,$16.054,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,66.0,cluster_4
50.0,32.0,Alexandr Dolgopolov,false,$1.735,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,67.0,cluster_4
60.0,25.0,Igor Sijsling,false,$1.376,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,68.0,cluster_3
72.0,56.0,Juan Martin Del Potro,false,$4.328,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,69.0,cluster_1
63.0,31.0,Nicolas Almagro,false,$2.428,Tommy Haas,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,70.0,cluster_3
61.0,33.0,Pablo Andujar,false,$1.108,Tommy Haas,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,71.0,cluster_3
65.0,36.0,Ernests Gulbis,false,$1.967,Ernests Gulbis,Feb 25 2013,Delray Beach,S,72.0,cluster_2
56.0,41.0,Ivan Dodig,false,$1.359,Tommy Haas,Feb 25 2013,Delray Beach,Q,73.0,cluster_2
51.0,25.0,Denis Istomin,false,$1.764,Tommy Haas,Feb 25 2013,Delray Beach,R16,74.0,cluster_4
61.0,32.0,Igor Sijsling,false,$1.474,Tommy Haas,Feb 25 2013,Delray Beach,R32,75.0,cluster_3
68.0,19.0,Evgeny Donskoy,false,$1.219,Tommy Haas,Feb 18 2013,Memphis,R32,76.0,cluster_3
76.0,42.0,Milos Raonic,false,$2.710,Milos Raonic,Feb 11 2013,San Jose,F,77.0,cluster_0
64.0,19.0,John Isner,false,$1.773,Tommy Haas,Feb 11 2013,San Jose,S,78.0,cluster_3
53.0,24.0,Steve Johnson,false,$1.296,Tommy Haas,Feb 11 2013,San Jose,Q,79.0,cluster_4
53.0,20.0,Jesse Levine,false,$1.452,Tommy Haas,Feb 11 2013,San Jose,R16,80.0,cluster_4
63.0,37.0,Jarkko Nieminen,false,$1.414,Jarkko Nieminen,Jan 14 2013,Australian Open Slam,Round of 128,81.0,cluster_2
62.0,32.0,Gael Monfils,false,$1.686,Gael Monfils,Jan 7 2013,Auckland,Q,82.0,cluster_3
62.0,20.0,Igor Sijsling,false,$1.526,Tommy Haas,Jan 7 2013,Auckland,R16,83.0,cluster_3
66.0,46.0,Grega Zemlja,false,$1.186,Grega Zemlja,Oct 21 2012,Vienna,Q,84.0,cluster_2
