p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
72,25,Jo-Wilfried Tsonga,$2.197,Jo-Wilfried Tsonga,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Milos Raonic,FALSE,47,cluster_1,0.93,11
65,32,Marin Cilic,$1.852,Milos Raonic,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Milos Raonic,FALSE,48,cluster_0,0.53,19
65,39,Ernests Gulbis,$2.924,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Andreas Seppi,FALSE,67,cluster_0,-1.11,25
75,27,Milos Raonic,$1.780,Jo-Wilfried Tsonga,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Jo-Wilfried Tsonga,FALSE,41,cluster_1,-0.04,16
59,42,Roger Federer,$4.432,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Stan Wawrinka,FALSE,78,cluster_1,0.25,16
58,27,Lleyton Hewitt,$1.306,Stan Wawrinka,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Stan Wawrinka,FALSE,79,cluster_2,2.31,27
69,40,Richard Gasquet,$2.106,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Nicolas Almagro,FALSE,40,cluster_3,0.2,12
69,37,Tomas Berdych,$4.915,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,Kevin Anderson,FALSE,47,cluster_1,-0.77,18
65,40,Rafael Nadal,$2.809,Rafael Nadal,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,S,Tomas Berdych,FALSE,85,cluster_4,-0.96,15
62,30,Kevin Anderson,$1.229,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,Tomas Berdych,FALSE,86,cluster_1,2.38,32
59,24,Jo-Wilfried Tsonga,$2.791,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Marin Cilic,FALSE,52,cluster_4,1.71,16
61,22,John Isner,$1.598,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Marin Cilic,FALSE,53,cluster_4,1.69,23
69,41,Rafael Nadal,$2.834,Rafael Nadal,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,F,Juan Martin Del Potro,FALSE,11,cluster_4,-0.35,3
53,39,Tommy Haas,$1.493,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,David Ferrer,FALSE,88,cluster_3,3.8,37
60,30,Tomas Berdych,$3.071,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,Q,Richard Gasquet,FALSE,63,cluster_2,0.85,26
59,30,Nicolas Almagro,$1.845,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Richard Gasquet,FALSE,64,cluster_2,1.38,23
51,35,Mikhail Youzhny,$1.272,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Richard Gasquet,FALSE,65,cluster_0,2.7,19
60,46,David Ferrer,$2.881,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,Tommy Haas,FALSE,72,cluster_2,0.05,21
52,25,Novak Djokovic,$16.054,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Tommy Haas,FALSE,74,cluster_3,2.42,15
77,38,Marin Cilic,$2.557,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,John Isner,FALSE,71,cluster_2,-1.04,15
