player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Stan Wawrinka,Tommy Robredo,Tommy Robredo,Apr 8 2013,Casablanca,S,$1.272,$4.328,0.82,1.08,21,22
Kevin Anderson,Tommy Robredo,Tommy Robredo,Apr 15 2013,Casablanca,F,$1.761,$2.226,0.08,0.4,9,17
Tomas Berdych,Richard Gasquet,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Miami,Q,$1.446,$3.071,-0.28,0.85,17,26
Marin Cilic,Richard Gasquet,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,$2.370,$1.680,0.07,0.91,9,24
Marin Cilic,Kevin Anderson,Marin Cilic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,$1.369,$3.487,1.61,-1.07,17,11
Novak Djokovic,Mikhail Youzhny,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,$1.089,$10.139,4.38,-1.75,23,12
Richard Gasquet,Marin Cilic,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,$1.680,$2.370,0.91,0.07,24,9
John Isner,Ernests Gulbis,Ernests Gulbis,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,$3.026,$1.456,-0.86,2.02,14,21
Gael Monfils,Nicolas Almagro,Nicolas Almagro,Apr 15 2013,Houston,R16,$4.940,$1.228,-0.62,0.96,18,16
Jo-Wilfried Tsonga,Stan Wawrinka,Jo-Wilfried Tsonga,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,$2.125,$1.830,-0.31,3.02,7,31
Stan Wawrinka,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,$1.830,$2.125,3.02,-0.31,31,7
Mikhail Youzhny,Novak Djokovic,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,$10.139,$1.089,-1.75,4.38,12,23
Nicolas Almagro,Rafael Nadal,Rafael Nadal,Apr 22 2013,Barcelona,F,$8.289,$1.116,-0.06,3.51,3,33
Grigor Dimitrov,Tommy Robredo,Tommy Robredo,Apr 22 2013,Barcelona,R32,$1.611,$2.523,-0.27,1.61,13,18
Ernests Gulbis,Milos Raonic,Milos Raonic,Apr 22 2013,Barcelona,R16,$2.638,$1.568,-0.8,0.38,22,8
