player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Tomas Berdych,Tommy Robredo,Tommy Robredo,May 5 2013,Barcelona,R16,$1.469,$2.975,-0.72,1.06,11,19
Grigor Dimitrov,Stan Wawrinka,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$2.842,$1.503,-0.12,1.72,12,18
Grigor Dimitrov,Novak Djokovic,Grigor Dimitrov,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$11.919,$1.072,-0.15,-0.06,13,16
Novak Djokovic,Grigor Dimitrov,Grigor Dimitrov,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$1.072,$11.919,-0.06,-0.15,16,13
Roger Federer,Kei Nishikori,Kei Nishikori,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.265,$4.415,1.93,0.08,14,7
David Ferrer,Rafael Nadal,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,$7.855,$1.124,0.56,0.97,8,8
David Ferrer,Tommy Haas,David Ferrer,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.404,$3.284,1.24,0.87,9,19
Tommy Haas,David Ferrer,David Ferrer,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$3.284,$1.404,0.87,1.24,19,9
Tommy Haas,Tommy Robredo,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$1.602,$2.547,0.09,-0.69,15,5
Tommy Haas,Andreas Seppi,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,$1.594,$2.566,1.62,-1.27,9,7
Rafael Nadal,David Ferrer,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,$1.124,$7.855,0.97,0.56,8,8
Rafael Nadal,Mikhail Youzhny,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.021,$26.377,4.88,-1.57,18,10
Kei Nishikori,Roger Federer,Kei Nishikori,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$4.415,$1.265,0.08,1.93,7,14
Milos Raonic,Fernando Verdasco,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$1.388,$3.375,0.42,-0.64,8,15
Tommy Robredo,Tommy Haas,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$2.547,$1.602,-0.69,0.09,5,15
Andreas Seppi,Tommy Haas,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,$2.566,$1.594,-1.27,1.62,7,9
Jo-Wilfried Tsonga,Stan Wawrinka,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,$2.428,$1.653,-0.33,1.63,4,17
Jo-Wilfried Tsonga,Fernando Verdasco,Jo-Wilfried Tsonga,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.389,$3.364,0.35,-0.6,9,14
Fernando Verdasco,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$3.364,$1.389,-0.6,0.35,14,9
Fernando Verdasco,Milos Raonic,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$3.375,$1.388,-0.64,0.42,15,8
Stan Wawrinka,Tomas Berdych,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,S,$1.995,$1.939,-1.01,1.21,8,20
Stan Wawrinka,Jo-Wilfried Tsonga,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,$1.653,$2.428,1.63,-0.33,17,4
Stan Wawrinka,Grigor Dimitrov,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.503,$2.842,1.72,-0.12,18,12
Mikhail Youzhny,Rafael Nadal,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$26.377,$1.021,-1.57,4.88,10,18
Mikhail Youzhny,Nicolas Almagro,Mikhail Youzhny,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$4.779,$1.238,-0.22,0.25,11,4
Nicolas Almagro,Mikhail Youzhny,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Madrid,R32,$1.238,$4.779,0.25,-0.22,4,11
