date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Feb 24 2014,$4.960,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=6&p=F324,Novak Djokovic,Dubai,Roger Federer,Novak Djokovic,Roger Federer,S,106,7,59,76,58,32,58,42,,,,,,,68,36,5,61,67,57,23,,16,,,,,,,63,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=6&p=F324
May 27 2013,$1.042,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224316,Julien Benneteau,French Open Slam,Roger Federer,Julien Benneteau,Roger Federer,Round of 32,91,7,65,82,79,40,79,100,38,21,,,182,157,81,41,2,82,60,53,18,,33,15,31,,,169,143,59,19,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224316
May 27 2013,$1.014,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224232,Somdev Devvarman,French Open Slam,Roger Federer,Somdev Devvarman,Roger Federer,Round of 64,82,3,62,75,72,59,72,50,54,33,,,180,152,74,53,2,61,41,55,25,,0,12,14,,,164,134,47,26,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224232
Feb 24 2014,$1.116,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=5&p=F324,Lukas Rosol,Dubai,Roger Federer,Lukas Rosol,Roger Federer,Q,58,4,62,80,44,51,44,45,,,,,,,66,56,2,49,48,39,20,,50,,,,,,,43,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=5&p=F324
Feb 24 2014,$1.068,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=4&p=F324,Radek Stepanek,Dubai,Roger Federer,Radek Stepanek,Roger Federer,R16,129,8,62,72,48,37,48,66,,,,,,,63,48,3,49,62,40,27,,50,,,,,,,51,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=4&p=F324
May 27 2013,$1.042,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224164,Pablo Carreno Busta,French Open Slam,Roger Federer,Pablo Carreno Busta,Roger Federer,Round of 128,80,10,68,83,74,45,74,100,33,19,,,182,148,80,52,1,62,55,37,18,,33,12,29,,,165,138,48,20,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224164
May 12 2013,$4.996,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=7&p=N409,Rafael Nadal,ATP World Tour Masters 1000 Rome,Roger Federer,Rafael Nadal,Rafael Nadal,F,69,3,56,56,30,29,30,50,,,,,,,45,28,1,73,70,72,43,,83,,,,,,,71,54,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=7&p=N409
May 12 2013,$1.155,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=6&p=F324,Benoit Paire,ATP World Tour Masters 1000 Rome,Roger Federer,Benoit Paire,Roger Federer,S,88,1,59,77,50,24,50,33,,,,,,,66,39,8,44,75,48,22,,16,,,,,,,60,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=6&p=F324
Feb 24 2014,$1.049,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=3&p=F324,Benjamin Becker,Dubai,Roger Federer,Benjamin Becker,Roger Federer,R32,62,5,62,83,63,38,63,75,,,,,,,76,45,1,54,61,46,16,,0,,,,,,,54,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=3&p=F324
Feb 24 2014,$1.014,http://www.tennisinsight.com/match_stats_popup.php?matchID=183913101,Ilija Bozoljac,Davis Cup,Roger Federer,Ilija Bozoljac,Roger Federer,Singles,102,8,65,84,69,24,69,45,,,,,,,79,40,18,66,76,29,16,,50,,,,,,,60,21,http://www.tennisinsight.com/match_stats_popup.php?matchID=183913101
