matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,ATP World Tour Masters 1000 Cincinnati,Rafael Nadal,John Isner,Rafael Nadal,F,115,6,2,72,83,71,25,71,0,,,,,,,11,1,76,74,68,16,68,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=7&p=N409
,Beijing,John Isner,Di Wu,John Isner,R32,116,23,2,67,78,79,20,79,16,,,,,,,4,5,52,80,57,21,57,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=3&p=I186
,Beijing,John Isner,Roberto Bautista Agut,John Isner,R16,122,24,2,70,86,62,34,62,42,,,,,,,1,3,84,65,50,13,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=4&p=I186
,Beijing,Tomas Berdych,John Isner,Tomas Berdych,Q,90,6,5,45,82,40,25,40,62,,,,,,,9,2,53,75,25,17,25,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=5&p=BA47
,ATP World Tour Masters 1000 Shanghai,John Isner,Santiago Giraldo,John Isner,R64,138,29,0,77,83,60,30,60,22,,,,,,,10,2,59,69,60,16,60,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=I186
,ATP World Tour Masters 1000 Shanghai,Carlos Berlocq,John Isner,Carlos Berlocq,R32,82,6,0,70,92,87,30,87,33,,,,,,,12,0,77,69,80,7,80,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=B884
,Valencia,John Isner,Ernests Gulbis,John Isner,R32,142,17,3,66,73,63,24,63,0,,,,,,,8,3,53,75,48,26,48,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=I186
,Valencia,Jeremy Chardy,John Isner,Jeremy Chardy,R16,82,17,9,63,90,48,31,48,40,,,,,,,12,1,74,68,75,9,75,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=4&p=CA12
,ATP World Tour Masters 1000 Paris,John Isner,Michal Przysiezny,John Isner,R32,118,27,4,67,84,71,23,71,20,,,,,,,10,8,51,76,57,15,57,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=I186
,ATP World Tour Masters 1000 Paris,Novak Djokovic,John Isner,Novak Djokovic,R16,110,11,1,69,88,63,37,63,25,,,,,,,12,2,78,62,37,11,37,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=D643
,Auckland,John Isner,Lukas Lacko,John Isner,R16,111,21,2,74,77,50,32,50,25,,,,,,,5,3,51,67,57,22,57,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=301&y=2014&r=4&p=I186
,Auckland,John Isner,Philipp Kohlschreiber,John Isner,Q,145,18,2,83,82,73,29,73,0,,,,,,,8,1,62,70,75,17,75,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=301&y=2014&r=5&p=I186
,Auckland,John Isner,Roberto Bautista Agut,John Isner,S,110,17,2,66,80,51,33,51,28,,,,,,,5,1,72,66,67,19,67,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=301&y=2014&r=6&p=I186
,Auckland,John Isner,Yen-Hsun Lu,John Isner,F,101,23,4,73,86,52,27,52,0,,,,,,,5,1,66,72,61,13,61,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=301&y=2014&r=7&p=I186
,Delray Beach,John Isner,Michael Russell,John Isner,R32,114,20,2,65,81,56,22,56,33,,,,,,,2,3,74,77,48,18,48,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=3&p=I186
,Delray Beach,John Isner,Dudi Sela,John Isner,R16,116,12,3,65,68,53,38,53,30,,,,,,,2,5,63,61,54,31,54,42,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=4&p=I186
,Delray Beach,John Isner,Rhyne Williams,John Isner,Q,102,18,5,63,88,57,34,57,42,,,,,,,5,1,68,65,51,11,51,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=5&p=I186
,Delray Beach,Marin Cilic,John Isner,Marin Cilic,S,86,12,2,57,84,62,34,62,14,,,,,,,9,3,72,65,50,15,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=6&p=C977
