tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Australian Open Slam,Juan Martin del Potro,Jeremy Chardy,Jeremy Chardy,Round of 32,225,13,67,74,51,22,51,29,36,35,"
                            ","
                            ",190,152,66,33,20,58,78,52,26,52,29,78,64,"
								","
								",198,159,67,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954309
London / Queen's Club,Juan Martin Del Potro,Lleyton Hewitt,Lleyton Hewitt,Q,100,10,66,68,40,28,40,33,,,,,,,59,37,8,56,71,51,31,51,80,,,,,,,62,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=5&p=H432
Vienna,Juan Martin Del Potro,Gilles Muller,Juan Martin Del Potro,S,111,17,72,88,52,17,52,0,,,,,,,78,27,16,79,82,35,11,35,0,,,,,,,72,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2012&r=6&p=D683
Vienna,Juan Martin Del Potro,Daniel Brands,Juan Martin Del Potro,R16,186,30,62,82,59,14,59,0,,,,,,,73,28,32,58,85,51,17,51,0,,,,,,,71,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2012&r=4&p=D683
Vienna,Juan Martin Del Potro,Marinko Matosevic,Juan Martin Del Potro,Q,73,6,68,90,40,50,40,33,,,,,,,74,49,2,54,50,51,9,51,0,,,,,,,50,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2012&r=5&p=D683
Wimbledon Slam,Juan Martin del Potro,Jesse Levine,Juan Martin del Potro,Round of 64,119,13,69,78,59,33,59,36,37,13,"
								","
								",194,159,72,43,13,61,67,41,22,41,33,38,29,"
                            ","
                            ",181,149,57,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604216
Wimbledon Slam,Juan Martin del Potro,Grega Zemlja,Juan Martin del Potro,Round of 32,115,10,61,87,57,22,57,44,29,12,"
								","
								",180,148,75,37,14,67,78,33,13,33,0,44,27,"
                            ","
                            ",172,148,63,25,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604308
Vienna,Juan Martin Del Potro,Grega Zemlja,Juan Martin Del Potro,F,102,10,62,81,40,30,40,60,,,,,,,65,39,7,58,70,47,18,47,20,,,,,,,60,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2012&r=7&p=D683
Basel,Juan Martin Del Potro,Alejandro Falla,Juan Martin Del Potro,R32,86,3,62,81,40,38,40,50,,,,,,,66,53,3,53,61,29,18,29,25,,,,,,,46,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=3&p=D683
ATP World Tour Masters 1000 Paris,Juan Martin Del Potro,Alejandro Falla,Juan Martin Del Potro,R32,77,6,58,76,47,42,47,50,,,,,,,64,58,3,44,57,28,23,28,28,,,,,,,41,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=3&p=D683
