matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,French Open Slam,Rafael Nadal,Novak Djokovic,Rafael Nadal,Semi Final,277,6,3,64,72,60,36,60,50,61,44,"","",179,139,5,2,67,64,53,28,53,56,54,75,"","",184,143,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224601
,French Open Slam,Rafael Nadal,David Ferrer,Rafael Nadal,Final,136,5,2,70,70,42,42,42,50,35,25,"","",177,142,1,5,62,58,25,30,25,25,22,35,"","",177,150,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224701
,US Open Slam,Rafael Nadal,Ryan Harrison,Rafael Nadal,Round of 128,126,3,5,72,82,55,28,55,71,28,21,25,31,175,141,11,2,62,72,29,18,29,0,28,34,12,21,188,149,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634164
,US Open Slam,Rafael Nadal,Rogerio Dutra Silva,Rafael Nadal,Round of 64,92,3,0,69,81,65,52,65,57,30,15,9,10,173,144,2,5,58,48,38,19,38,0,9,22,4,12,173,143,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634232
,US Open Slam,Rafael Nadal,Ivan Dodig,Rafael Nadal,Round of 32,128,3,2,65,80,74,28,74,57,37,26,14,17,172,136,6,1,52,72,50,20,50,0,19,28,13,27,185,149,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634316
,US Open Slam,Rafael Nadal,Philipp Kohlschreiber,Rafael Nadal,Round of 16,192,3,0,66,76,70,34,70,24,48,29,23,31,172,136,12,1,63,66,50,24,50,0,49,47,22,34,181,143,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634408
,US Open Slam,Rafael Nadal,Tommy Robredo,Rafael Nadal,Quarter Final,100,2,0,61,86,61,41,61,70,28,15,15,16,173,135,3,4,52,59,28,14,28,0,10,21,7,15,185,146,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634504
,US Open Slam,Rafael Nadal,Richard Gasquet,Rafael Nadal,Semi Final,141,3,1,71,76,57,29,57,100,35,24,22,28,177,138,6,4,64,71,45,24,45,17,26,32,24,35,178,141,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634602
,Davis Cup,Rafael Nadal,Sergiy Stakhovsky,Rafael Nadal,Singles,102,2,2,76,78,71,39,71,47,,,,,,,5,9,52,61,33,22,33,0,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=181983102
,ATP World Tour Masters 1000 Paris,David Ferrer,Rafael Nadal,David Ferrer,S,98,3,3,68,72,56,31,56,37,,,,,,,1,0,69,68,38,28,38,14,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=6&p=F401
