tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Australian Open Slam,Milos Raonic,Grigor Dimitrov,Grigor Dimitrov,Round of 32,156,21,59,74,59,17,59,33,50,39,22,53,200,169,68,20,15,60,83,75,26,75,50,49,13,12,15,194,157,80,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704303
Tokyo,Milos Raonic,Lukas Lacko,Milos Raonic,Q,63,11,65,87,62,37,62,60,,,,,,,78,43,2,67,62,44,12,44,0,,,,,,,56,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=5&p=R975
Tokyo,Milos Raonic,Go Soeda,Milos Raonic,R32,80,24,68,95,61,26,61,33,,,,,,,84,34,3,57,73,54,5,54,0,,,,,,,65,15,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=3&p=R975
Tokyo,Milos Raonic,Ivan Dodig,Milos Raonic,S,84,12,59,89,56,27,56,50,,,,,,,75,37,7,53,72,51,10,51,0,,,,,,,62,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=6&p=R975
Tokyo,Milos Raonic,Juan Martin Del Potro,Juan Martin Del Potro,F,106,17,71,84,61,21,61,0,,,,,,,78,30,7,73,78,45,15,45,33,,,,,,,70,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=7&p=D683
Australian Open Slam,Milos Raonic,Lukas Rosol,Milos Raonic,Round of 64,108,18,64,87,59,33,59,63,18,6,"
								","
								",,,77,42,13,48,67,50,13,50,33,13,6,"
                            ","
                            ",,,58,23,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954229
Tokyo,Milos Raonic,Jeremy Chardy,Milos Raonic,R16,77,17,63,93,70,34,70,33,,,,,,,85,40,7,68,65,45,6,45,0,,,,,,,59,14,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=4&p=R975
Australian Open Slam,Milos Raonic,Philipp Kohlschreiber,Milos Raonic,Round of 32,112,23,65,82,77,29,77,50,44,38,"
								","
								",203,169,80,32,5,52,71,64,18,64,0,19,27,"
                            ","
                            ",182,148,68,20,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954315
ATP World Tour Masters 1000 Shanghai,Milos Raonic,Michal Przysiezny,Milos Raonic,R64,72,16,58,90,60,28,60,50,,,,,,,78,32,7,66,71,61,9,61,0,,,,,,,67,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=R975
ATP World Tour Masters 1000 Shanghai,Milos Raonic,Fernando Verdasco,Milos Raonic,R32,122,20,68,82,51,21,51,33,,,,,,,72,27,9,67,78,59,17,59,25,,,,,,,72,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=R975
ATP World Tour Masters 1000 Paris,Milos Raonic,Tomas Berdych,Tomas Berdych,R16,116,18,59,84,38,14,38,0,,,,,,,65,26,8,62,85,51,16,51,33,,,,,,,73,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=BA47
Stockholm,Milos Raonic,Joachim Johansson,Milos Raonic,R16,83,16,63,89,61,30,61,18,,,,,,,79,37,11,66,69,48,10,48,0,,,,,,,62,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=4&p=R975
ATP World Tour Masters 1000 Shanghai,Milos Raonic,Stan Wawrinka,Stan Wawrinka,R16,81,11,69,82,55,15,55,0,,,,,,,74,19,10,61,84,75,17,75,50,,,,,,,80,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=W367
Stockholm,Milos Raonic,Benoit Paire,Benoit Paire,Q,86,11,62,82,28,23,28,12,,,,,,,62,33,9,55,76,54,17,54,33,,,,,,,66,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=5&p=PD31
ATP World Tour Masters 1000 Paris,Milos Raonic,Robin Haase,Milos Raonic,R32,59,14,65,96,62,21,62,40,,,,,,,85,34,7,61,78,45,3,45,0,,,,,,,65,14,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=R975
ATP World Tour Masters 1000 Indian Wells,Milos Raonic,Edouard Roger-Vasselin,Milos Raonic,R64,145,33,57,89,58,30,58,0,,,,,,,76,27,3,66,70,77,10,77,33,,,,,,,72,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=R975
ATP World Tour Masters 1000 Indian Wells,Milos Raonic,Alejandro Falla,Milos Raonic,R32,80,11,66,83,72,39,72,50,,,,,,,79,41,1,65,60,54,16,54,0,,,,,,,58,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=R975
ATP World Tour Masters 1000 Indian Wells,Milos Raonic,Andy Murray,Milos Raonic,R16,130,15,66,83,51,28,51,42,,,,,,,72,37,4,66,71,43,16,43,100,,,,,,,62,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=R975
ATP World Tour Masters 1000 Miami,Milos Raonic,Jack Sock,Milos Raonic,R64,87,14,56,93,72,20,72,50,,,,,,,84,25,2,56,80,66,6,66,0,,,,,,,74,15,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=R975
ATP World Tour Masters 1000 Indian Wells,Milos Raonic,Alexandr Dolgopolov,Alexandr Dolgopolov,Q,79,4,61,71,45,10,45,100,,,,,,,61,27,6,53,89,52,28,52,33,,,,,,,72,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=5&p=D801
ATP World Tour Masters 1000 Miami,Milos Raonic,Benjamin Becker,Milos Raonic,R16,90,15,61,85,53,28,53,33,,,,,,,73,40,0,53,71,46,14,46,0,,,,,,,60,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=R975
Bangkok,Milos Raonic,Tomas Berdych,Milos Raonic,F,77,18,66,95,54,17,54,100,,,,,,,81,22,4,74,82,64,4,64,0,,,,,,,77,18,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2013&r=7&p=R975
ATP World Tour Masters 1000 Miami,Milos Raonic,Rafael Nadal,Rafael Nadal,Q,156,8,55,75,39,25,39,33,,,,,,,59,29,2,75,74,57,24,57,33,,,,,,,70,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=N409
ATP World Tour Masters 1000 Miami,Milos Raonic,Guillermo Garcia-Lopez,Milos Raonic,R32,57,10,59,90,80,21,80,57,,,,,,,86,52,0,46,78,22,9,22,0,,,,,,,48,13,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=R975
ATP World Tour Masters 1000 Monte Carlo,Milos Raonic,Tommy Robredo,Milos Raonic,R16,73,7,54,93,58,45,58,33,,,,,,,77,34,1,67,54,87,6,87,0,,,,,,,65,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=R975
ATP World Tour Masters 1000 Monte Carlo,Milos Raonic,Yen-Hsun Lu,Milos Raonic,R32,119,19,63,81,58,46,58,26,,,,,,,72,46,4,71,53,51,18,51,33,,,,,,,53,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=R975
ATP World Tour Masters 1000 Paris,Milos Raonic,Jeremy Chardy,Milos Raonic,R32,129,26,65,89,58,16,58,50,,,,,,,78,26,9,69,83,51,10,51,0,,,,,,,73,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=3&p=R975
ATP World Tour Masters 1000 Monte Carlo,Milos Raonic,Stan Wawrinka,Stan Wawrinka,Q,91,6,61,73,58,20,58,0,,,,,,,67,26,5,47,80,66,26,66,66,,,,,,,73,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=5&p=W367
