matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,US Open Slam,Andy Murray,Leonardo Mayer,Andy Murray,Round of 64,161,5,3,57,67,76,34,76,56,28,26,17,26,172,125,6,5,63,66,44,33,44,11,39,49,29,50,191,167,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634209
,US Open Slam,Andy Murray,Florian Mayer,Andy Murray,Round of 32,119,7,2,51,90,63,30,63,40,42,21,8,12,181,133,0,2,62,70,43,10,43,0,17,26,21,39,178,136,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634305
,US Open Slam,Andy Murray,Denis Istomin,Andy Murray,Round of 16,187,5,5,63,77,51,35,51,40,38,35,32,38,173,127,4,2,69,65,53,23,53,50,33,36,19,37,186,146,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634403
,US Open Slam,Stanislas Wawrinka,Andy Murray,Stanislas Wawrinka,Quarter Final,135,4,4,55,88,59,46,59,36,45,37,31,42,189,156,5,4,63,54,55,12,55,0,15,30,10,22,177,135,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634502
,Davis Cup,Andy Murray,Borna Coric,Andy Murray,Singles,120,1,1,53,71,68,53,68,47,,,,,,,0,2,69,47,48,29,48,25,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=182003101
,Davis Cup,Andy Murray,Ivan Dodig,Andy Murray,Reverse Singles,141,4,2,72,75,64,38,64,71,,,,,,,1,2,53,62,48,25,48,33,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=182003103
,Australian Open Slam,Andy Murray,Go Soeda,Andy Murray,Round of 128,87,12,2,69,80,61,38,61,54,32,13,4,5,181,133,6,3,61,62,21,20,21,0,23,33,11,16,176,144,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704117
,Australian Open Slam,Andy Murray,Vincent Millot,Andy Murray,Round of 64,121,5,5,59,80,55,54,55,47,25,31,7,7,172,135,2,7,55,46,44,20,44,75,22,55,12,20,175,143,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704209
,Australian Open Slam,Andy Murray,Feliciano Lopez,Andy Murray,Round of 32,135,6,2,64,86,48,30,48,36,29,30,11,18,174,135,8,7,57,70,47,14,47,100,31,44,26,37,193,155,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704305
,Australian Open Slam,Andy Murray,Stephane Robert,Andy Murray,Round of 16,162,8,3,62,76,52,33,52,50,48,47,16,24,180,132,3,8,51,67,39,24,39,17,33,56,20,31,182,139,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704403
,Australian Open Slam,Roger Federer,Andy Murray,Roger Federer,Quarter Final,200,10,0,64,78,64,33,64,24,54,42,49,66,184,149,9,1,61,67,49,22,49,50,41,46,17,27,183,131,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704502
,Davis Cup,Andy Murray,Andreas Seppi,Andy Murray,Singles,187,8,7,54,75,51,44,51,32,,,,,,,0,4,66,56,52,25,52,18,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=184963102
,Davis Cup,Fabio Fognini,Andy Murray,Fabio Fognini,Reverse Singles,139,1,4,59,70,74,34,74,38,,,,,,,0,4,65,66,38,30,38,20,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=184963103
