tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
ATP World Tour Masters 1000 Rome,Jeremy Chardy,Robin Haase,Jeremy Chardy,R64,85,9,61,85,57,33,57,33,,,,,,,74,42,1,52,66,48,14,,0,,,,,,,57,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=CA12
ATP World Tour Masters 1000 Rome,Jeremy Chardy,Roger Federer,Jeremy Chardy,R32,127,2,56,80,45,31,45,18,,,,,,,65,37,9,68,68,50,19,,42,,,,,,,62,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=CA12
ATP World Tour Masters 1000 Cincinnati,Jeremy Chardy,Andy Murray,Jeremy Chardy,R16,98,4,56,70,45,36,45,50,,,,,,,59,43,10,54,63,46,29,,28,,,,,,,56,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2012&r=4&p=CA12
ATP World Tour Masters 1000 Cincinnati,Jeremy Chardy,Denis Istomin,Jeremy Chardy,R32,83,3,45,83,58,39,58,27,,,,,,,69,43,2,60,60,50,16,,0,,,,,,,56,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2012&r=3&p=CA12
ATP World Tour Masters 1000 Rome,Jeremy Chardy,Ivan Dodig,Jeremy Chardy,R16,72,3,65,83,56,40,56,66,,,,,,,73,48,2,70,60,33,16,,0,,,,,,,52,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=CA12
ATP World Tour Masters 1000 Paris,Jeremy Chardy,Milos Raonic,Milos Raonic,R32,129,9,69,83,51,10,51,0,,,,,,,73,21,26,65,89,58,16,,50,,,,,,,78,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=3&p=R975
ATP World Tour Masters 1000 Cincinnati,Jeremy Chardy,Andy Roddick,Jeremy Chardy,R64,94,7,51,87,63,26,63,33,,,,,,,75,40,7,61,73,37,12,,0,,,,,,,60,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2012&r=2&p=CA12
ATP World Tour Masters 1000 Cincinnati,Jeremy Chardy,Juan Martin Del Potro,Juan Martin Del Potro,Q,76,4,68,68,15,17,15,0,,,,,,,51,25,8,61,82,61,31,,23,,,,,,,74,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2012&r=5&p=D683
Tokyo,Jeremy Chardy,Yuichi Sugita,Jeremy Chardy,R32,74,14,60,81,71,33,71,60,,,,,,,77,40,1,48,66,52,18,,0,,,,,,,59,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=3&p=CA12
ATP World Tour Masters 1000 Paris,Jeremy Chardy,Guillermo Garcia-Lopez,Jeremy Chardy,R64,72,7,58,81,63,51,63,50,,,,,,,73,51,3,57,48,47,18,,0,,,,,,,48,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=2&p=CA12
Tokyo,Jeremy Chardy,Stan Wawrinka,Stan Wawrinka,R16,158,8,62,82,57,6,57,25,,,,,,,73,25,19,55,93,52,17,,33,,,,,,,74,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=4&p=W367
ATP World Tour Masters 1000 Shanghai,Jeremy Chardy,Alexandr Dolgopolov,Alexandr Dolgopolov,R64,68,4,56,67,42,24,42,0,,,,,,,56,28,4,48,76,66,32,,30,,,,,,,71,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=2&p=D801
Vina del Mar,Jeremy Chardy,Christian Garin,Jeremy Chardy,R16,103,3,64,71,61,26,61,37,,,,,,,68,33,3,52,73,58,28,,10,,,,,,,66,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2013&r=4&p=CA12
Doha,Jeremy Chardy,Daniel Brands,Daniel Brands,R32,69,6,55,77,56,16,56,0,,,,,,,67,24,6,75,83,50,22,,50,,,,,,,75,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2013&r=3&p=BC72
Vina del Mar,Jeremy Chardy,Paolo Lorenzi,Jeremy Chardy,Q,65,7,62,89,58,40,58,57,,,,,,,77,44,2,71,60,43,10,,0,,,,,,,55,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2013&r=5&p=CA12
Sydney,Jeremy Chardy,Feliciano Lopez,Feliciano Lopez,R32,123,7,60,72,47,24,47,50,,,,,,,62,29,22,54,75,63,27,,50,,,,,,,70,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2013&r=3&p=L397
Vina del Mar,Jeremy Chardy,Rafael Nadal,Rafael Nadal,S,65,4,78,54,44,17,44,0,,,,,,,52,26,2,79,82,40,45,,66,,,,,,,73,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2013&r=6&p=N409
US Open Slam,Jeremy Chardy,Sergiy Stakhovsky,Jeremy Chardy,Round of 128,218,8,56,69,56,28,56,55,8,7,"
								","
								",,,63,41,7,53,72,44,31,,21,7,9,"
                            ","
                            ",,,59,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634130
US Open Slam,Jeremy Chardy,Julien Benneteau,Julien Benneteau,Round of 64,115,11,57,62,36,26,36,33,33,39,12,22,189,156,51,37,9,58,74,47,38,64,58,24,23,14,21,183,151,63,49,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634215
Australian Open Slam,Jeremy Chardy,Alexandr Dolgopolov,Jeremy Chardy,Round of 64,211,22,60,77,46,30,46,36,76,73,24,38,197,165,65,37,15,71,70,47,23,,33,43,36,19,24,171,136,63,35,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704223
Australian Open Slam,Jeremy Chardy,Jesse Huta Galung,Jeremy Chardy,Round of 128,110,9,66,79,53,16,53,44,31,27,12,13,,,70,37,9,57,84,35,21,,0,30,33,14,17,,,63,30,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704145
